County,Chemical,Total Transfers,Total Releases
Adams,Certain glycol ethers,0.0,11862.0
Adams,Chromium,0.0,4.41
Adams,Copper,250.0,273.1
Adams,Diisocyanates,0.0,0.0
Adams,Ethylene glycol,0.0,0.0
Adams,Lead,0.0,147.79
Adams,Manganese,0.0,2.78
Adams,Nickel,0.0,4766.25
Adams,Styrene,0.0,105918.0
Adams,Toluene,0.0,20499.0
Adams,n-Hexane,0.0,306186.4
Allen,"1,2,4-Trimethylbenzene",0.0,395711.0
Allen,Certain glycol ethers,0.0,10000.0
Allen,Chromium,2.132,5074.624
Allen,Copper,29.07,8340.07
Allen,Diisocyanates,0.0,18592.17
Allen,Ethylbenzene,0.0,19198.0
Allen,Ethylene glycol,4335.56,349.02500000000003
Allen,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,25456.0
Allen,Lead,1.61,377.851
Allen,Lead  And Lead Compounds,0.6699999999999999,19309.07
Allen,Manganese,0.0,740.1600000000001
Allen,Manganese compounds,0.0,0.0
Allen,Methanol,0.0,12717.0
Allen,Naphthalene,0.0,1190.0
Allen,Nickel,29.722,9873.362
Allen,Nitrate compounds (water dissociable; reportable only when in aqueous solution),140641.69,14064.169000000002
Allen,Nitric acid,59273.37,59283.37
Allen,Polycyclic aromatic compounds,0.0,1.43
Allen,Styrene,0.0,367521.29
Allen,Toluene,0.0,15100.0
Allen,Xylene (mixed isomers),0.0,93229.0
Allen,Zinc compounds,1004.56,63525.26
Allen,n-Hexane,0.0,1327.0
Bartholomew,Chromium,0.10099999999999999,10718.079
Bartholomew,Copper,15.161,42729.632
Bartholomew,Ethylene glycol,0.0,0.0
Bartholomew,Lead,24.529,44.308
Bartholomew,Lead  And Lead Compounds,0.0,17720.5
Bartholomew,Manganese,6.646,1533.663
Bartholomew,Manganese compounds,0.0,0.16
Bartholomew,Nickel,22.511000000000003,1355.886
Bartholomew,Nitrate compounds (water dissociable; reportable only when in aqueous solution),130856.87,13085.687
Bartholomew,Nitric acid,40.0,790.0
Bartholomew,Zinc compounds,203.14,184530.03
Blackford,Ammonia,74.34,260.74
Blackford,Ethylbenzene,0.0,196.0
Blackford,Toluene,0.0,10382.0
Blackford,Xylene (mixed isomers),0.0,930.0
Blackford,Zinc compounds,0.0,3645.428
Boone,Chromium,0.0,0.0
Boone,Copper,21.51,21.51
Boone,Lead,0.0,0.219
Boone,Manganese,0.0,13.0
Boone,Methanol,0.0,75400.0
Boone,Nickel,0.0,0.0
Boone,Nitric acid,0.0,0.0
Carroll,Ammonia,0.0,4124.0
Carroll,Certain glycol ethers,0.0,0.0
Cass,Ammonia,63203.0,53820.0
Cass,Chromium,15.2,688.2
Cass,Copper,0.0,259.28
Cass,Ethylbenzene,0.0,119.0
Cass,Ethylene glycol,0.0,0.0
Cass,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,24951.12
Cass,Lead,0.0,19.97
Cass,Lead compounds,0.0,33893.968
Cass,Manganese compounds,0.0,5269119.8
Cass,Methanol,0.0,1608.0
Cass,Naphthalene,0.0,31.0
Cass,Nitrate compounds (water dissociable; reportable only when in aqueous solution),91521.0,49866.0
Cass,Nitric acid,0.0,5.0
Cass,Polycyclic aromatic compounds,0.0,0.0
Cass,Styrene,0.0,57.0
Cass,Toluene,0.0,471.0
Cass,Xylene (mixed isomers),0.0,483.0
Cass,Zinc compounds,57.58,3769846.2800000003
Cass,n-Hexane,0.0,6200.0
Clark,"1,2,4-Trimethylbenzene",0.0,1122.0
Clark,Ammonia,0.0,4252.969999999999
Clark,Certain glycol ethers,0.0,346.0
Clark,Chromium,0.0,0.0
Clark,Diisocyanates,0.0,0.0
Clark,Ethylbenzene,0.0,12474.29
Clark,Lead,0.0,53.368
Clark,Manganese,0.0,1026.396
Clark,Manganese compounds,0.0,230.0
Clark,Methanol,0.0,1089.04
Clark,Naphthalene,0.0,219.0
Clark,Nickel,0.0,0.0
Clark,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
Clark,Toluene,0.0,14538.43
Clark,Xylene (mixed isomers),0.0,71841.39
Clark,Zinc compounds,0.0,0.0
Clay,"1,2,4-Trimethylbenzene",0.0,1032.0
Clay,Certain glycol ethers,0.0,2585.0
Clay,Chromium,0.0,0.0
Clay,Diisocyanates,0.0,0.0
Clay,Ethylbenzene,0.0,1507.0
Clay,Lead compounds,0.0,576.0
Clay,Manganese,0.0,0.0
Clay,Manganese compounds,0.0,535.335
Clay,Nickel,0.0,0.0
Clay,Polycyclic aromatic compounds,0.0,0.05
Clay,Toluene,0.0,1431.0
Clay,Xylene (mixed isomers),0.0,3737.0
Clay,Zinc compounds,0.0,25962.65
Clinton,Diisocyanates,0.0,10615.24
Clinton,Ethylene glycol,0.0,3196.703
Clinton,Lead,0.0,0.099
Clinton,Lead  And Lead Compounds,0.0,3.01
Clinton,Manganese,0.0,0.0
Clinton,Manganese compounds,0.0,0.0
Clinton,Nickel,0.0,0.0
Clinton,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,79000.0
Clinton,Nitric acid,0.0,19.75
Clinton,Styrene,0.0,2607.01
Clinton,Zinc compounds,0.0,0.0
Clinton,n-Hexane,47.0,390134.0
Daviess,Ethylbenzene,0.0,41.5
Daviess,Manganese compounds,0.0,0.0
Daviess,Methanol,0.0,853.0
Daviess,Toluene,0.0,77.0
Daviess,Xylene (mixed isomers),0.0,44.5
Daviess,Zinc compounds,0.0,227.0
Daviess,n-Hexane,0.0,6260.0
Dearborn,Chromium,14.8,2849.8
Dearborn,Copper,466.04,4778.04
Dearborn,Lead  And Lead Compounds,27.12,52.96
Dearborn,Manganese,0.0,2348.0
Dearborn,Nickel,50.8,262.8
Decatur,"1,2,4-Trimethylbenzene",0.0,17162.0
Decatur,Certain glycol ethers,0.0,19933.0
Decatur,Chromium,0.0,5.0
Decatur,Copper,0.0,6862.3
Decatur,Diisocyanates,0.0,0.0
Decatur,Ethylbenzene,0.0,140.0
Decatur,Ethylene glycol,0.0,300.1
Decatur,Lead,3.596,222.522
Decatur,Lead  And Lead Compounds,0.0,152.0
Decatur,Manganese,0.0,0.0
Decatur,Manganese compounds,189.0,5688.0
Decatur,Methanol,0.0,126.0
Decatur,Nickel,0.0,0.0
Decatur,Nitrate compounds (water dissociable; reportable only when in aqueous solution),195115.0,19528.7
Decatur,Nitric acid,0.0,96.88900000000001
Decatur,Polycyclic aromatic compounds,0.0,0.08
Decatur,Toluene,0.0,1111.0
Decatur,Xylene (mixed isomers),0.0,746.0
Decatur,Zinc compounds,210.0,19507.92
DeKalb,"1,2,4-Trimethylbenzene",0.0,31930.09
DeKalb,Certain glycol ethers,0.0,74441.0
DeKalb,Chromium,0.71,536.447
DeKalb,Copper,0.0,2042.0
DeKalb,Diisocyanates,0.0,1570.59
DeKalb,Ethylbenzene,0.0,4650.0
DeKalb,Ethylene glycol,220.0,1261.53
DeKalb,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,69.037
DeKalb,Lead,0.04,4339.173
DeKalb,Lead  And Lead Compounds,0.0,0.011
DeKalb,Lead compounds,0.0,13241.19
DeKalb,Manganese,41.6,4158.325
DeKalb,Manganese compounds,0.0,269986.0
DeKalb,Naphthalene,0.0,6616.0
DeKalb,Nickel,13.43,766.772
DeKalb,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
DeKalb,Nitric acid,0.0,0.0
DeKalb,Styrene,0.0,105142.0
DeKalb,Toluene,0.0,68599.0
DeKalb,Xylene (mixed isomers),0.0,53556.0
DeKalb,Zinc compounds,442.02,233596.08000000002
Delaware,"1,2,4-Trimethylbenzene",0.0,4.0
Delaware,Certain glycol ethers,0.0,0.0
Delaware,Chromium,1.18,4494.91
Delaware,Copper,6.86,88.22
Delaware,Diisocyanates,0.0,0.0
Delaware,Ethylbenzene,0.0,29.0
Delaware,Ethylene glycol,0.0,0.0
Delaware,Lead,0.93,2.707
Delaware,Lead  And Lead Compounds,57.398,920115.065
Delaware,Manganese,90.82,271.62
Delaware,Naphthalene,0.0,4.0
Delaware,Nickel,0.44,7292.32
Delaware,Polycyclic aromatic compounds,0.0,0.0
Delaware,Styrene,0.0,23560.0
Delaware,Toluene,0.0,370.0
Delaware,Xylene (mixed isomers),0.0,152.0
Delaware,Zinc compounds,0.0,1546.05
Delaware,n-Hexane,0.0,450.0
Dubois,Chromium,0.0,0.0
Dubois,Copper,0.0,0.0
Dubois,Diisocyanates,0.0,0.0
Dubois,Ethylbenzene,0.0,17765.81
Dubois,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
Dubois,Nitric acid,0.0,0.0
Dubois,Toluene,0.0,36618.11
Dubois,Xylene (mixed isomers),0.0,86024.16
Elkhart,"1,2,4-Trimethylbenzene",0.0,6585.95
Elkhart,Certain glycol ethers,139.0,32863.43
Elkhart,Chromium,18.465,128083.498
Elkhart,Copper,104.85000000000001,8964.396
Elkhart,Diisocyanates,0.0,15.54
Elkhart,Ethylbenzene,0.0,13009.2
Elkhart,Ethylene glycol,0.0,0.0
Elkhart,Lead,27.603,117.047
Elkhart,Lead  And Lead Compounds,0.0,0.0
Elkhart,Lead compounds,6.29,242.29
Elkhart,Manganese,0.0,56950.494999999995
Elkhart,Methanol,0.0,25389.0
Elkhart,Naphthalene,0.0,70.05
Elkhart,Nickel,41.886,11461.507000000001
Elkhart,Nitrate compounds (water dissociable; reportable only when in aqueous solution),140762.2,14076.2
Elkhart,Nitric acid,0.0,1504.04
Elkhart,Styrene,0.0,870957.1799999999
Elkhart,Toluene,0.0,134466.0
Elkhart,Xylene (mixed isomers),0.0,117135.45999999999
Elkhart,Zinc compounds,52.0,646173.28
Elkhart,n-Hexane,0.0,8118.0
Fayette,"1,2,4-Trimethylbenzene",0.0,1046.0
Fayette,Certain glycol ethers,0.0,2526.0
Fayette,Ethylbenzene,0.0,1550.0
Fayette,Lead,0.0,0.04
Fayette,Lead compounds,0.0,16290.36
Fayette,Methanol,0.0,2234.0
Fayette,Naphthalene,0.0,256.95
Fayette,Nickel,0.0,56.1
Fayette,Styrene,0.0,314.0
Fayette,Toluene,0.0,2962.0
Fayette,Xylene (mixed isomers),0.0,8676.0
Fayette,n-Hexane,0.0,103.83
Floyd,Copper,133.7,144.4
Floyd,Lead,2.7,6.3
Floyd,Lead  And Lead Compounds,0.0,0.08
Floyd,Manganese compounds,0.0,1.36
Floyd,Nickel,82.3,99.0
Floyd,Nitrate compounds (water dissociable; reportable only when in aqueous solution),74766.0,7736.6
Floyd,Nitric acid,5.0,105.0
Floyd,Zinc compounds,0.0,0.0
Fountain,Chromium,5.0,11190.01
Fountain,Diisocyanates,0.0,15.6
Fountain,Ethylbenzene,0.0,8082.0
Fountain,Lead,5.0,439.461
Fountain,Lead  And Lead Compounds,0.274,866.091
Fountain,Lead compounds,11.5,11.5
Fountain,Manganese,5.0,10365.18
Fountain,Naphthalene,0.0,19461.55
Fountain,Nickel,5.0,8987.0
Fountain,Toluene,0.0,5292.4
Fountain,Xylene (mixed isomers),0.0,61928.0
Fountain,Zinc compounds,19.6,53.7
Franklin,Ethylene glycol,0.0,213.0
Franklin,Lead compounds,0.0,78.08
Franklin,Polycyclic aromatic compounds,0.0,69.472
Fulton,Copper,0.0,11818.17
Fulton,Diisocyanates,0.0,32.64
Fulton,Lead,0.0,70.27
Fulton,Manganese,0.0,4946.11
Fulton,Styrene,0.0,101481.61
Gibson,"1,2,4-Trimethylbenzene",0.0,62661.0
Gibson,Ammonia,0.0,3200.0
Gibson,Certain glycol ethers,0.0,5849.0
Gibson,Chromium,9.0,568.0
Gibson,Copper,0.0,0.844
Gibson,Diisocyanates,0.0,400.975
Gibson,Ethylbenzene,0.0,3221.0
Gibson,Ethylene glycol,0.0,65.0
Gibson,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,160000.0
Gibson,Lead,0.0,0.05
Gibson,Lead  And Lead Compounds,0.0,110162.6
Gibson,Lead compounds,20.0,964.2
Gibson,Manganese compounds,87.0,697.0
Gibson,Methanol,0.0,15701.0
Gibson,Naphthalene,0.0,1256.0
Gibson,Nitrate compounds (water dissociable; reportable only when in aqueous solution),98713.0,12995.3
Gibson,Nitric acid,172061.0,0.0
Gibson,Polycyclic aromatic compounds,0.0,6.5
Gibson,Toluene,0.0,4321.0
Gibson,Xylene (mixed isomers),0.0,17754.0
Gibson,Zinc compounds,185.0,397383.0
Grant,Ammonia,0.0,0.0
Grant,Chromium,0.0,33.5
Grant,Copper,6.95,39.95
Grant,Diisocyanates,0.0,0.0
Grant,Ethylbenzene,0.0,3485.462
Grant,Ethylene glycol,0.0,590.961
Grant,Lead,0.0,116.77
Grant,Lead compounds,0.94,5203.18
Grant,Manganese,0.0,449.06
Grant,Methanol,0.0,7893.174
Grant,Nickel,0.0,28.380000000000003
Grant,Toluene,0.0,44206.09
Grant,Xylene (mixed isomers),0.0,22625.637
Grant,Zinc compounds,26.26,6315.26
Greene,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,8291.0
Hamilton,"1,2,4-Trimethylbenzene",0.0,48.0
Hamilton,Certain glycol ethers,0.0,0.0
Hamilton,Chromium,0.0,13.0
Hamilton,Diisocyanates,0.0,0.0
Hamilton,Ethylbenzene,0.0,58.0
Hamilton,Ethylene glycol,0.0,0.0
Hamilton,Lead,0.05,50.05
Hamilton,Lead  And Lead Compounds,0.0,0.026
Hamilton,Manganese,0.0,280.0
Hamilton,Methanol,0.0,0.0
Hamilton,Naphthalene,0.0,0.0
Hamilton,Nickel,0.0,6.0
Hamilton,Nitric acid,0.0,0.0
Hamilton,Styrene,0.0,17337.0
Hamilton,Toluene,0.0,385.0
Hamilton,Xylene (mixed isomers),0.0,232.0
Hamilton,Zinc compounds,5.0,4804.99
Hamilton,n-Hexane,0.0,627.0
Hancock,"1,2,4-Trimethylbenzene",0.0,1516.0
Hancock,Certain glycol ethers,0.0,7335.0
Hancock,Chromium,0.0,79461.13
Hancock,Copper,0.55,112.65
Hancock,Lead,0.44,1.1019999999999999
Hancock,Naphthalene,0.0,752.0
Hancock,Nickel,1.16,64463.43
Hancock,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
Hancock,Nitric acid,0.0,0.0
Hancock,Styrene,0.0,257590.0
Hancock,Toluene,0.0,472.0
Hancock,Xylene (mixed isomers),0.0,1041.0
Hancock,Zinc compounds,5.0,5.0
Harrison,"1,2,4-Trimethylbenzene",0.0,43.0
Hendricks,Ammonia,0.0,0.0
Hendricks,Chromium,0.0,87.547
Hendricks,Lead,0.0,2.821
Hendricks,Lead compounds,6.39,1098.016
Hendricks,Manganese,0.0,768.173
Hendricks,Manganese compounds,0.0,6157.0
Hendricks,Nitric acid,0.0,0.0
Hendricks,Toluene,0.0,0.0
Hendricks,Zinc compounds,132.0,37125.0
Henry,Ammonia,0.0,0.0
Henry,Chromium,28.0,5518.0
Henry,Copper,0.0,2026.71
Henry,Diisocyanates,0.0,2.58
Henry,Lead,0.0,2806.01
Henry,Manganese,1.0,654.0
Henry,Nickel,24.0,6756.0
Henry,Nitrate compounds (water dissociable; reportable only when in aqueous solution),7448.0,744.8
Henry,Nitric acid,0.0,1.0
Howard,Ammonia,0.0,3059.8199999999997
Howard,Chromium,0.56,1288.72
Howard,Copper,23.96,5747.700000000001
Howard,Lead,10.767999999999999,223.75799999999998
Howard,Manganese,6.0,1693.94
Howard,Nickel,79.58800000000001,14605.714
Howard,Nitric acid,0.0,416.1
Huntington,"1,2,4-Trimethylbenzene",0.0,0.0
Huntington,Ammonia,0.0,0.0
Huntington,Certain glycol ethers,89.7,16.2
Huntington,Copper,0.0,924.865
Huntington,Ethylbenzene,0.0,222.0
Huntington,Lead,0.0,3.07
Huntington,Lead  And Lead Compounds,0.0,8.784
Huntington,Lead compounds,0.09,0.122
Huntington,Manganese,2.0,29.0
Huntington,Manganese compounds,0.0,0.0
Huntington,Naphthalene,0.0,0.0
Huntington,Nickel,0.2,10.2
Huntington,Nitrate compounds (water dissociable; reportable only when in aqueous solution),57292.0,5729.2
Huntington,Nitric acid,0.0,10.0
Huntington,Styrene,0.0,36181.58
Huntington,Toluene,0.0,740.0
Huntington,Xylene (mixed isomers),0.0,222.0
Huntington,n-Hexane,0.0,124.0
Jackson,Ammonia,0.0,1250.0
Jackson,Certain glycol ethers,0.0,787.09
Jackson,Chromium,1.35,10.546999999999999
Jackson,Copper,1.57,3873167.34
Jackson,Diisocyanates,0.0,0.0
Jackson,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,3347.0
Jackson,Lead,0.0,0.0
Jackson,Manganese,9.0,4313.710999999999
Jackson,Methanol,0.0,1166.25
Jackson,Nickel,3.13,5.28
Jackson,Nitrate compounds (water dissociable; reportable only when in aqueous solution),10085.0,5154.5
Jackson,Toluene,0.0,10506.74
Jackson,Zinc compounds,20.33,10300.33
Jackson,n-Hexane,0.0,129982.25
Jasper,Chromium,0.0,0.067
Jasper,Copper,0.0,0.0
Jasper,Ethylbenzene,0.0,0.0
Jasper,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,51137.0
Jasper,Lead,0.0,0.049
Jasper,Lead compounds,0.0,31463.506
Jasper,Manganese,0.0,21.3
Jasper,Manganese compounds,0.0,79402.0
Jasper,Methanol,0.0,1289.0
Jasper,Nickel,0.0,0.67
Jasper,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
Jasper,Nitric acid,0.0,0.0
Jasper,Toluene,0.0,0.0
Jasper,Xylene (mixed isomers),0.0,0.0
Jasper,Zinc compounds,0.0,114637.78
Jasper,n-Hexane,0.0,3196.0
Jay,Chromium,5.0,10.0
Jay,Copper,0.129,144.299
Jay,Lead,0.001,2.532
Jay,Lead  And Lead Compounds,0.0,374.328
Jay,Manganese,9.0,19.0
Jay,Nickel,5.0,11.0
Jay,n-Hexane,0.0,4330.0
Jefferson,"1,2,4-Trimethylbenzene",0.0,5688.0
Jefferson,Certain glycol ethers,0.0,41808.33
Jefferson,Chromium,0.3,555.41
Jefferson,Copper,1.47,784.33
Jefferson,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,101297.0
Jefferson,Lead,0.0,7.7
Jefferson,Lead  And Lead Compounds,0.0,17320.0
Jefferson,Manganese,2.32,343.6
Jefferson,Manganese compounds,0.0,1016.68
Jefferson,Nickel,0.29,26.82
Jefferson,Nitric acid,0.0,0.0
Jefferson,Polycyclic aromatic compounds,0.0,3.0
Jefferson,Zinc compounds,0.0,43680.0
Jennings,Certain glycol ethers,0.0,13110.01
Jennings,Chromium,0.0,0.0
Jennings,Copper,2.75,4319.26
Jennings,Ethylene glycol,0.0,0.0
Jennings,Lead,0.0,0.0
Jennings,Lead compounds,0.0,76.93
Jennings,Manganese,0.0,0.0
Jennings,Polycyclic aromatic compounds,0.0,0.12
Jennings,Styrene,0.0,7183.16
Johnson,"1,2,4-Trimethylbenzene",0.0,3761.0
Johnson,Certain glycol ethers,0.0,146.0
Johnson,Chromium,0.004,5529.004
Johnson,Copper,0.0,352.0
Johnson,Diisocyanates,0.0,16898.033
Johnson,Ethylbenzene,0.0,657.0
Johnson,Ethylene glycol,0.0,289.9
Johnson,Lead  And Lead Compounds,0.0,1033.42
Johnson,Manganese,0.0,2683.0
Johnson,Nickel,0.01,7108.01
Johnson,Nitrate compounds (water dissociable; reportable only when in aqueous solution),12517.0,12517.0
Johnson,Nitric acid,2.0,3.76
Johnson,Polycyclic aromatic compounds,0.0,5.5
Johnson,Xylene (mixed isomers),0.0,2627.0
Knox,Ammonia,0.0,225408.0
Knox,Copper,0.0,88250.4
Knox,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,778.0
Knox,Lead,0.0,253.65
Knox,Lead  And Lead Compounds,0.0,27555.41
Knox,Manganese,0.0,92768.54599999999
Knox,Polycyclic aromatic compounds,0.0,0.5
Knox,Zinc compounds,0.0,91515.0
Kosciusko,Certain glycol ethers,0.0,0.0
Kosciusko,Chromium,11.397,119.63300000000001
Kosciusko,Copper,4.27,2349.407
Kosciusko,Diisocyanates,0.0,15.0
Kosciusko,Lead,2.19,40.661
Kosciusko,Manganese,0.241,12.239
Kosciusko,Manganese compounds,0.3,1766.01
Kosciusko,Methanol,0.0,5634.0
Kosciusko,Nickel,60.108999999999995,246.67399999999998
Kosciusko,Nitrate compounds (water dissociable; reportable only when in aqueous solution),56959.0,5443.5
Kosciusko,Nitric acid,12301.0,14755.0
Kosciusko,Styrene,0.0,264186.0
Kosciusko,Toluene,0.0,76095.0
Kosciusko,Xylene (mixed isomers),0.0,6.0
Kosciusko,Zinc compounds,0.0,38.0
Kosciusko,n-Hexane,0.0,706032.0
LaGrange,Certain glycol ethers,0.0,674.74
LaGrange,Chromium,0.0,251.0
LaGrange,Copper,0.0,0.0
LaGrange,Diisocyanates,0.0,0.0
LaGrange,Lead,0.0,8.0
LaGrange,Manganese,0.0,58.0
LaGrange,Nickel,0.0,26.0
